,Date,US Contract,US Spot,Europe Contract,Europe Spot,NEA/SEA,China
0,May-21,539,367,348,370,348,338
1,Jun-21,539,354,346,371,345,336
2,Jul-21,539,377,342,395,348,338
3,Aug-21,539,428,344,462,359,348
4,Sep-21,594,438,343,444,381,373
5,Oct-21,608,487,412,509,455,445
6,Nov-21,681,446,425,446,406,379
7,Dec-21,646,370,429,408,380,353
8,Jan-22,615,388,437,426,359,344
9,Feb-22,617,405,436,414,375,361
10,Mar-22,617,431,449,453,409,396
11,Apr-22,660,379,510,396,400,380
12,May-22,634,329,521,378,368,349
13,Jun-22,610,357,519,392,362,345
14,Jul-22,600,348,507,367,325,308
15,Aug-22,593,375,512,374,326,315
16,Sep-22,589,354,516,358,334,324
17,Oct-22,584,357,503,350,334,326
18,Nov-22,584,330,498,330,325,313
19,Dec-22,575,335,478,329,316,302
20,Jan-23,575,351,444,342,326,316
21,Feb-23,579,366,445,361,333,327
22,Mar-23,593,339,447,361,321,315
23,Apr-23,576,270,444,322,306,298
24,May-23,558,295,446,296,286,274
25,Jun-23,544,253,449,261,253,243
26,Jul-23,526,229,326,223,257,254
27,Aug-23,517,229,329,248,268,269
28,Sep-23,517,256,336,256,287,289
29,Oct-23,517,324,341,305,286,281
30,Nov-23,551,332,335,356,287,281
31,Dec-23,576,314,330,347,292,286
32,Jan-24,576,310,453,301,290,285
33,Feb-24,588,337,459,301,299,297
34,Mar-24,614,346,455,338,310,310
35,Apr-24,633,334,457,326,304,302
36,May-24,645,325,454,328,316,311
